accepted_name,growth_form,plant_height,seed_mass,sla,taxonomic_status,accepted_family,R1A,R22,both,accepted_name_url,status,redlist_germany
Gentiana clusii,herb,0.05,4.40E-04,NA,Accepted,Gentianaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:367989-1,I,V
Gentiana verna,herb,0.032,7.40E-05,NA,Accepted,Gentianaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:369094-1,I,3
Globularia bisnagarica,herb,0.102,5.95E-04,81.35,Accepted,Plantaginaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:813058-1,I,3
Globularia cordifolia,herb,0.02,5.56E-04,NA,Accepted,Plantaginaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:813062-1,I,*
Gymnadenia conopsea,forb,0.3,7.00E-06,176.07,Accepted,Orchidaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:636509-1,I,V
Helianthemum nummularium,subshrub,0.114,0.001007183,152.8,Accepted,Cistaceae,1,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:169032-1,I,V
Helianthemum nummularium subsp. obscurum,NA,NA,NA,NA,Accepted,Cistaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77251819-1,I,V
Helictochloa pratensis,graminoid,0.65,0.002312,99.76,Synonym,Poaceae,1,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77113502-1,I,V
Helictotrichon pubescens,NA,NA,NA,NA,Accepted,Poaceae,0,0,0,https://www.worldfloraonline.org/taxon/wfo-0000873950,I,*
Hieracium,NA,NA,NA,NA,Accepted,Asteraceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:330082-2,I,*
Hippocrepis comosa,forb,0.163,0.003641667,152.32,Accepted,Fabaceae,1,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:498352-1,I,V
Hypericum perfoliatum,herb,NA,NA,NA,Accepted,Hypericaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:433717-1,NA,NA
Hypericum perforatum,NA,0.454,1.62E-04,260.64,Accepted,Hypericaceae,1,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:433719-1,I,*
Hypochaeris maculata,herb,0.4325,0.0016445,198.7,Accepted,Asteraceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:225539-1,I,2
Inula acuminata,NA,NA,NA,NA,Illegitimate,Asteraceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:225729-1,NA,NA
Jacobaea vulgaris,forb,0.75,2.49E-04,NA,Accepted,Asteraceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:226649-1,I,*
Knautia arvensis,NA,0.433,0.0040089,197.06,Accepted,Caprifoliaceae,1,1,1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:319318-1,I,*
Koeleria macrantha,graminoid,0.2665,4.22E-04,118.07,Accepted,Poaceae,1,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:406615-1,I,V
Koeleria pyramidata,graminoid,0.325,0.0023,165.3,Accepted,Poaceae,1,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:406677-1,I,V
Lathyrus tuberosus,forb,0.555,0.032142,297.37,Accepted,Fabaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:502065-1,I,*
Legousia speculum-veneris,forb,0.172,1.94E-04,651.3,Accepted,Campanulaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:60457789-2,I,2
Leontodon hispidus,forb,0.235,0.001108072,258.01,Accepted,Asteraceae,1,1,1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:229358-1,I,*
Leontodon incanus,herb,0.1,0.001314,213.6,Accepted,Asteraceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:229368-1,I,3
Leucanthemum vulgare,NA,0.50975,8.12E-04,192.73,Accepted,Asteraceae,1,1,1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30296198-2,I,*
Linum catharticum,NA,0.125,1.53E-04,301.64,Accepted,Linaceae,1,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:544405-1,I,*
Linum catharticum var. subalpinum,NA,NA,NA,NA,Synonym,Linaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77252207-1,NA,NA
Linum perenne,NA,0.405666667,0.002214608,258.8,Accepted,Linaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:544634-1,I,3
Lotus corniculatus,NA,0.42725,0.001068796,278.32,Synonym,Fabaceae,1,1,1,https://www.worldfloraonline.org/taxon/wfo-0000212180,I,*
Lotus corniculatus subsp. corniculatus,NA,NA,NA,NA,Synonym,Fabaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77190398-1,NA,NA
Lotus dorycnium,subshrub,0.225,0.0024195,NA,Synonym,Fabaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:503605-1,NA,NA
Lotus germanicus,NA,NA,NA,NA,Synonym,Fabaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77110166-1,I,3
Medicago falcata,NA,NA,0.00282875,NA,Accepted,Fabaceae,1,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:506175-1,I,*
Medicago lupulina,NA,0.393333333,0.001660477,272.39,Accepted,Fabaceae,1,1,1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:506268-1,I,*
Myosotis arvensis,NA,0.265,4.23E-04,293.8,Accepted,Boraginaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:118914-1,I,*
Ophrys apifera,forb,0.15,NA,196.67,Accepted,Orchidaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:647746-1,I,*
Origanum vulgare,forb,0.504,9.75E-05,246.73,Accepted,Lamiaceae,1,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:453395-1,I,*
Orobanche gracilis,NA,NA,NA,NA,Accepted,Orobanchaceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:662378-1,I,3
Papaver rhoeas,NA,0.4035,1.59E-04,330.7,Accepted,Papaveraceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:306058-2,I,*
Pentanema britannica,forb,0.35,1.20E-04,274.35,Illegitimate,Asteraceae,0,0,0,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77178407-1,I,V
