"";"accepted_name";"taxonomic_status";"accepted_family";"R1A";"R22";"both"
"166";"Tanacetum corymbosum";"Accepted";"Asteraceae";0;0;0
"167";"Taraxacum";"Accepted";"Asteraceae";0;1;0
"168";"Teucrium montanum";"Accepted";"Lamiaceae";0;0;0
"169";"Thesium linophyllon";"Accepted";"Santalaceae";0;0;0
"170";"Thesium pyrenaicum";"Accepted";"Santalaceae";0;0;0
"171";"Thymus praecox";"Accepted";"Lamiaceae";1;0;0
"172";"Thymus pulegioides";"Accepted";"Lamiaceae";1;0;0
"173";"Trifolium campestre";"Accepted";"Fabaceae";0;0;0
"174";"Trifolium dubium";"Accepted";"Fabaceae";0;1;0
"175";"Trifolium medium";"Accepted";"Fabaceae";0;0;0
"176";"Trifolium montanum";"Accepted";"Fabaceae";1;0;0
"177";"Trifolium pratense";"Accepted";"Fabaceae";1;1;1
"178";"Trifolium repens";"Accepted";"Fabaceae";0;1;0
"179";"Trisetum flavescens";"Accepted";"Poaceae";0;1;0
"180";"Verbascum nigrum";"Accepted";"Scrophulariaceae";0;0;0
"181";"Veronica arvensis";"Accepted";"Plantaginaceae";0;0;0
"182";"Veronica austriaca";"Accepted";"Plantaginaceae";0;0;0
"183";"Veronica chamaedrys";"Accepted";"Plantaginaceae";0;1;0
"184";"Veronica spicata";"Accepted";"Plantaginaceae";0;0;0
"185";"Vicia hirsuta";"Accepted";"Fabaceae";0;0;0
"186";"Vicia sativa";"Accepted";"Fabaceae";0;0;0
"187";"Vincetoxicum hirundinaria";"Accepted";"Apocynaceae";0;0;0
"188";"Viola arvensis";"Accepted";"Violaceae";0;0;0
"189";"Viola hirta";"Accepted";"Violaceae";1;0;0
"190";"Viola rupestris";"Accepted";"Violaceae";0;0;0
