ID,Name_submitted,Overall_score,Name_matched_id,Name_matched,Name_score,Name_matched_rank,Author_submitted,Author_matched,Author_score,Canonical_author,Name_matched_accepted_family,Genus_submitted,Genus_matched,Genus_score,Specific_epithet_submitted,Specific_epithet_matched,Specific_epithet_score,Family_submitted,Family_matched,Family_score,Infraspecific_rank,Infraspecific_epithet_matched,Infraspecific_epithet_score,Infraspecific_rank_2,Infraspecific_epithet_2_matched,Infraspecific_epithet_2_score,Annotations,Unmatched_terms,Name_matched_url,Name_matched_lsid,Phonetic,Taxonomic_status,Accepted_name,Accepted_species,Accepted_name_author,Accepted_name_id,Accepted_name_rank,Accepted_name_url,Accepted_name_lsid,Accepted_family,Overall_score_order,Highertaxa_score_order,Source,Warnings,WarningsEng
61,Lathyrus pratensis,1,208039,Lathyrus pratensis,1,species,,,NA,L.,Fabaceae,Lathyrus,Lathyrus,1,pratensis,pratensis,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501954-1,,Y,Accepted,Lathyrus pratensis,Lathyrus pratensis,L.,208039,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:501954-1,,Fabaceae,1,1,wcvp,0,
62,Leontodon hispidus,1,18560,Leontodon hispidus,1,species,,,NA,L.,Asteraceae,Leontodon,Leontodon,1,hispidus,hispidus,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:229358-1,,Y,Accepted,Leontodon hispidus,Leontodon hispidus,L.,18560,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:229358-1,,Asteraceae,1,1,wcvp,0,
63,Leucanthemum vulgare aggr.,0.9,37102,Leucanthemum vulgare,1,species,,,NA,Lam.,Asteraceae,Leucanthemum,Leucanthemum,1,vulgare,vulgare,1,,,NA,,,NA,,,NA,,aggr.,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30296198-2,,Y,Accepted,Leucanthemum vulgare,Leucanthemum vulgare,Lam.,37102,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30296198-2,,Asteraceae,1,1,wcvp,0,
64,Linum catharticum,1,358626,Linum catharticum,1,species,,,NA,L.,Linaceae,Linum,Linum,1,catharticum,catharticum,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:544405-1,,Y,Accepted,Linum catharticum,Linum catharticum,L.,358626,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:544405-1,,Linaceae,1,1,wcvp,0,
65,Lolium perenne,1,870157,Lolium perenne,1,species,,,NA,L.,Poaceae,Lolium,Lolium,1,perenne,perenne,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:407493-1,,Y,Accepted,Lolium perenne,Lolium perenne,L.,870157,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:407493-1,,Poaceae,1,1,wcvp,0,
66,Lotus corniculatus,1,207542,Lotus corniculatus,1,species,,,NA,L.,Fabaceae,Lotus,Lotus,1,corniculatus,corniculatus,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30179739-2,,Y,Accepted,Lotus corniculatus,Lotus corniculatus,L.,207542,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:30179739-2,,Fabaceae,1,1,wcvp,0,
67,Luzula campestris aggr.,0.9,769600,Luzula campestris,1,species,,,NA,(L.) DC.,Juncaceae,Luzula,Luzula,1,campestris,campestris,1,,,NA,,,NA,,,NA,,aggr.,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:443746-1,,Y,Accepted,Luzula campestris,Luzula campestris,(L.) DC.,769600,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:443746-1,,Juncaceae,1,1,wcvp,0,
68,Medicago falcata,1,208732,Medicago falcata,1,species,,,NA,L.,Fabaceae,Medicago,Medicago,1,falcata,falcata,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:506175-1,,Y,Accepted,Medicago falcata,Medicago falcata,L.,208732,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:506175-1,,Fabaceae,1,1,wcvp,0,
69,Medicago lupulina,1,208757,Medicago lupulina,1,species,,,NA,L.,Fabaceae,Medicago,Medicago,1,lupulina,lupulina,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:506268-1,,Y,Accepted,Medicago lupulina,Medicago lupulina,L.,208757,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:506268-1,,Fabaceae,1,1,wcvp,0,
70,Ononis spinosa,1,180853,Ononis spinosa,1,species,,,NA,L.,Fabaceae,Ononis,Ononis,1,spinosa,spinosa,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:332101-2,,Y,Accepted,Ononis spinosa,Ononis spinosa,L.,180853,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:332101-2,,Fabaceae,1,1,wcvp,0,
71,Origanum vulgare,1,255809,Origanum vulgare,1,species,,,NA,L.,Lamiaceae,Origanum,Origanum,1,vulgare,vulgare,1,,,NA,,,NA,,,NA,,,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:453395-1,,Y,Accepted,Origanum vulgare,Origanum vulgare,L.,255809,species,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:453395-1,,Lamiaceae,1,1,wcvp,0,
