name,res29,res30,res11,res06,res04,res10,res18,res36,res34,res39,res37,res33,res15,res17,res16,res02,res01,res03,res20,res21,res19,res12,res13,res14,res65,res83,res81,res67,res76,res82,res79,res75,res70,res66,res35,res22,res23,res24,res25,res26,res27,res28,res84,res85,res86,res87,res88,res89,res90,res46,res53,res50,res41,res45,res44,res43,res40,res42,res47,res48,res49,res52,res51,res57,res63,res61,res62,res64,res60,res54,res55,res56,res58,res59,res05,res09,res08,res38,res31,res32,res07,res77,res71,res68,res74,res73,res80,res69,res78,res72
Picris hieracioides agg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,0.5,0.5,,,,,,,,0.5,,,,,0.5,2,0.5,20,2,0.5,4,0.5,0.5,
Pilosella officinarum,,,,,,0.1,,,,,,,0.5,0.5,,,0.5,,,0.5,0.5,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,,,,,,,,0.5,,0.5,,,,,0.5,0.5,0.5,,,,,,,,,,,,,,,,,
Pimpinella saxifraga agg.,,,,,,,,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,0.5,0.5,,0.5,2,,,0.5,0.5,,,,,0.5,0.5,,0.5,,0.5,0.5,,0.5,,0.5,0.5,,,,,,,,,0.5,,,,,,,,,0.5,,,,,,,,0.5,,,0.5,0.5,,,0.5,0.5,0.5,0.5,0.5,0.5
Plantago lanceolata,,,,,0.5,0.5,,0.5,0.5,,,,,,,,,,,,,,,,,,,0.5,2,0.5,,0.5,0.5,,,,,0.5,0.5,0.5,0.5,0.5,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,0.5,,2,,0.5,0.5,,2,0.5,,0.5
Plantago media agg.,,,,0.5,2,2,,,,,,0.5,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,2,,0.5,4,,,,,,,,,10,,,,,0.5,,,,,,,,,,,4,,,,0.5,0.5,,,,,,,0.5,
Poa annua agg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poa pratensis agg.,0.5,0.5,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,0.5,2,0.5,,,,,0.5,0.5,0.5,0.5,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,0.5,,0.5,0.5,,,,,,,0.5,0.5,0.5,0.5,0.5,,0.5,,,,,,,,,
Polygala amara agg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polygonatum odoratum,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,
Populus nigra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,
